"Timestamp","Género","Edad","Altura en metros","Hornalla favorita","¿Cómo caracterizarías la intensidad de tus hornallas? [Atrás izquierda]","¿Cómo caracterizarías la intensidad de tus hornallas? [Adelante izquierda]","¿Cómo caracterizarías la intensidad de tus hornallas? [Adelante derecha]","¿Cómo caracterizarías la intensidad de tus hornallas? [Atrás derecha]","La cocina es","¿Con qué encendés las hornallas?","¿Con qué frecuencia usás una hornalla?","¿Cuál es tu mano más hábil?","¿Tenés niñes menores en tu casa?","¿Tenés mascotas en tu casa?","¿Hacia qué lado del anafe tenés mesada?"
"2020/08/11 2:57:15 PM GMT-3","Hombre","29","1.77","Atrás izquierda","Alta","Baja","Media","Baja","A gas","Magiclik","Todos los días","Derecha","No","No","Derecha"
"2020/08/11 2:57:16 PM GMT-3","Hombre","40","17","Adelante izquierda","Baja","Media","Baja","Funciona mal","A gas","Fósforos","Todos los días","Derecha","Sí","No","Derecha"
"2020/08/11 2:57:27 PM GMT-3","Mujer","23","1.56","Adelante derecha","Baja","Funciona mal","Alta","Baja","A gas","Encendedor","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda;Derecha"
"2020/08/11 2:57:52 PM GMT-3","Hombre","37","1.76","Atrás izquierda","Media","Media","Alta","Media","A gas","Encendedor","Todos los días","Derecha","No","Sí, y creo que tocarían el fuego","Izquierda;Derecha"
"2020/08/11 2:59:00 PM GMT-3","Hombre","52","1.87","Atrás izquierda","Alta","Media","Media","Alta","A gas","Encendedor","Todos los días","Derecha","Sí","No","Izquierda;Derecha"
"2020/08/11 2:59:02 PM GMT-3","Hombre","25","1.75","Adelante derecha","Alta","Alta","Alta","Alta","A gas","Botón de la cocina","Todos los días","Derecha","No","No","Izquierda"
"2020/08/11 2:59:07 PM GMT-3","Mujer","33","1.75","Atrás izquierda","Alta","Alta","Alta","Alta","A gas","Fósforos","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Derecha"
"2020/08/11 2:59:24 PM GMT-3","Mujer","30","1.65","Atrás izquierda","Alta","Alta","Alta","Alta","A gas","Botón de la cocina","Todos los días","Izquierda","No","No","Izquierda;Derecha"
"2020/08/11 2:59:26 PM GMT-3","Hombre","37","1.9","Atrás izquierda","Alta","Baja","Media","Alta","A gas","Es automático","Día por medio","Derecha","Sí","Sí, pero no creo que tocarían el fuego","Izquierda;Al frente"
"2020/08/11 2:59:43 PM GMT-3","Hombre","44","1.76","Atrás derecha","Media","Alta","Baja","Media","A gas","Encendedor","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda"
"2020/08/11 3:00:01 PM GMT-3","Hombre","25","1.70","Atrás izquierda","Media","Alta","Media","Media","A gas","Magiclik","Día por medio","Izquierda","No","Sí, pero no creo que tocarían el fuego","Derecha"
"2020/08/11 3:00:08 PM GMT-3","Hombre","29","1.72","Atrás izquierda","Alta","Baja","Funciona mal","Alta","A gas","Encendedor","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda;Derecha"
"2020/08/11 3:00:29 PM GMT-3","Mujer","66","1.56","Adelante derecha","Baja","Alta","Alta","Media","Eléctrica","Botón de la cocina","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Al frente"
"2020/08/11 3:00:36 PM GMT-3","Mujer","38","1.64","Adelante derecha","Media","Baja","Alta","Media","A gas","Es automático","Todos los días","Izquierda","Sí","No","Derecha"
"2020/08/11 3:00:42 PM GMT-3","Otre","32","1.81","Adelante izquierda","Media","Alta","Media","No tengo","A gas","Magiclik","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda"
"2020/08/11 3:01:02 PM GMT-3","Hombre","40","1.76","Atrás derecha","Alta","Media","Baja","Media","A gas","Fósforos","Todos los días","Derecha","Sí","Sí, pero no creo que tocarían el fuego","Izquierda"
"2020/08/11 3:01:03 PM GMT-3","Hombre","37","1.75","Adelante derecha","Media","Alta","Baja","Alta","A gas","Botón de la cocina","Todos los días","Izquierda","Sí","No","Derecha"
"2020/08/11 3:01:42 PM GMT-3","Mujer","23","1.70","Adelante derecha","Baja","Alta","Alta","Funciona mal","A gas","Fósforos","Todos los días","Derecha","Sí","Sí, pero no creo que tocarían el fuego","Derecha"
"2020/08/11 3:01:56 PM GMT-3","Hombre","40","1.84","Adelante izquierda","Media","Media","Media","Media","A gas","Encendedor","Todos los días","Derecha","No","No","Izquierda"
"2020/08/11 3:01:56 PM GMT-3","Hombre","36","1.75","Atrás derecha","Baja","Media","Alta","Alta","A gas","Encendedor","Todos los días","Derecha","No","No","Derecha"
"2020/08/11 3:01:57 PM GMT-3","Hombre","37","1.83","Atrás izquierda","Baja","Alta","Media","Baja","A gas","Fósforos","Todos los días","Derecha","No","Sí, pero no creo que tocarían el fuego","Izquierda"
"2020/08/11 3:02:07 PM GMT-3","Hombre","26","1.70","Adelante derecha","Media","Baja","Alta","Media","A gas","Encendedor","Día por medio","Derecha","No","No","Derecha"
"2020/08/11 3:02:23 PM GMT-3","Hombre","22","1.85","Adelante derecha","Baja","Media","Alta","Alta","A gas","Fósforos","Día por medio","Derecha","No","No","Derecha"
"2020/08/11 3:02:29 PM GMT-3","Hombre","31","1.65","Adelante derecha","Alta","Media","Alta","Baja","A gas","Fósforos","Todos los días","Derecha","No","No","Derecha"
"2020/08/11 3:02:31 PM GMT-3","Hombre","21","1.73","Atrás izquierda","Media","Media","Alta","Media","A gas","Encendedor","Todos los días","Izquierda","No","No","Izquierda"
"2020/08/11 3:02:32 PM GMT-3","Mujer","32","1.74","Adelante derecha","Baja","Media","Media","Alta","A gas","Fósforos","Todos los días","Izquierda","No","Sí, pero no creo que tocarían el fuego","Derecha"
"2020/08/11 3:02:33 PM GMT-3","Otre","38","1.64","Atrás izquierda","Media","Media","Media","Media","A gas","Fósforos","Todos los días","Derecha","No","No","Derecha"
"2020/08/11 3:02:52 PM GMT-3","Mujer","30","1.65","Adelante derecha","Media","Media","Media","Media","A gas","Encendedor","Todos los días","Izquierda","No","No","Izquierda;Derecha"
